metric_type,metric
accuracy,0.6836363636363636
AU_ROC,0.48413929061214317
f1_score,0.1152542372881356
average_precision_score,0.24748553170966964
f_beta,0.1152542372881356
matthews_correlation_coefficient,-0.0448475833475025
precision,0.19540229885057472
recall,0.08173076923076923
true_positive_rate_TPR,0.08173076923076923
false_positive_rate_FPR,0.11345218800648298
false_discovery_rate,0.8045977011494253
false_negative_rate,0.9182692307692307
negative_predictive_value,0.7411924119241192
misclassification_error_rate,0.31636363636363635
sensitivity,0.08173076923076923
specificity,0.8865478119935171
TP,17.0
FP,70.0
FN,191.0
TN,547.0
